number,title,file
1808,"Dental patient chair, down",poster/1808-dental-patient-chair-down.png
1809,"Dental patient chair, tilt backward",poster/1809-dental-patient-chair-tilt-backward.png
1810,"Dental patient chair, tilt forward",poster/1810-dental-patient-chair-tilt-forward.png
1811,"Dental patient chair, headrest, back",poster/1811-dental-patient-chair-headrest-back.png
1812,"Dental patient chair, headrest, up",poster/1812-dental-patient-chair-headrest-up.png
1813,"Dental patient chair, backward",poster/1813-dental-patient-chair-backward.png
1814,"Dental patient chair, forward",poster/1814-dental-patient-chair-forward.png
1815,"Dental patient chair, backrest, back",poster/1815-dental-patient-chair-backrest-back.png
1816,"Dental patient chair, backrest, up",poster/1816-dental-patient-chair-backrest-up.png
1817,"Dental patient support, up",poster/1817-dental-patient-support-up.png
1818,"Dental patient support, down",poster/1818-dental-patient-support-down.png
1819,"Dental patient chair, general",poster/1819-dental-patient-chair-general.png
1820,"Dental patient chair, rotation",poster/1820-dental-patient-chair-rotation.png
1821,Dental operator's stool,poster/1821-dental-operator-s-stool.png
1822,Dental operating light,poster/1822-dental-operating-light.png
1823,Dental unit,poster/1823-dental-unit.png
